"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","276","PAT-P1-11: Поиск несуществующего пациента возвращает пустой список","","2026-09-17","passed","2026-09-17","","api.PatientTest","api.PatientTest","searchNonExistingPatientReturnsEmptyResults"
"","1126","Получение списка Appointments пациента","","2026-09-17","passed","2026-09-17","","api.appointment.AppointmentTest","api.appointment.AppointmentTest","getAppointmentsByPatient"
"","0","successfulSearchAndNestedSearchExtractTypedCollections()","","2026-09-17","skipped","2026-09-17","","api.requests.skeleton.SuccessfulRequesterTest","api.requests.skeleton.SuccessfulRequesterTest","successfulSearchAndNestedSearchExtractTypedCollections"
"","966","Получение списка Appointment за один день","","2026-09-17","failed","2026-09-17","","api.appointment.AppointmentTest","api.appointment.AppointmentTest","getAppointmentsByOneDay"
"","0","Позитивный тест: logout завершает сессию","","2026-09-17","skipped","2026-09-17","","api.AuthTest","api.AuthTest","logoutUserEndsSession"
"","0","readOptionsRepresentOpenMrsValues()","","2026-09-17","skipped","2026-09-17","","api.requests.skeleton.SuccessfulRequesterTest","api.requests.skeleton.SuccessfulRequesterTest","readOptionsRepresentOpenMrsValues"
"","312","Encounter не создаётся с датой в будущем","","2026-09-17","passed","2026-09-17","","api.EncounterTest","api.EncounterTest","encounterIsNotCreatedWithFutureDatetime"
"","972","PAT-P0-05: Отклонение дублирующего идентификатора пациента","","2026-09-17","passed","2026-09-17","","api.PatientTest","api.PatientTest","rejectDuplicatePatientIdentifier"
"","0","Позитивный тест: успешная авторизация с получением сессии","","2026-09-17","skipped","2026-09-17","","api.AuthTest","api.AuthTest","getAuthSessionWithValidDataAdmin"
"","551","PAT-P1-04: Создание пациента без пола отклоняется","","2026-09-17","passed","2026-09-17","","api.PatientTest","api.PatientTest","createPatientWithoutGenderReturnsBadRequest"
"","0","Encounter не создаётся с несуществующим Visit","","2026-09-17","skipped","2026-09-17","","api.EncounterTest","api.EncounterTest","encounterIsNotCreatedWithUnknownVisit"
"","7713","Создание нового appointment","","2026-09-17","passed","2026-09-17","","api.appointment.AppointmentTest","api.appointment.AppointmentTest","adminCanCreateAppointment"
"","0","Encounter не создаётся с несуществующим Encounter Role","","2026-09-17","skipped","2026-09-17","","api.EncounterTest","api.EncounterTest","encounterIsNotCreatedWithUnknownEncounterRole"
"","353","PAT-P1-05: Создание пациента без идентификатора отклоняется","","2026-09-17","passed","2026-09-17","","api.PatientTest","api.PatientTest","createPatientWithoutIdentifierReturnsBadRequest"
"","0","successfulCrudDelegatesValidatesAndExtractsResponses()","","2026-09-17","skipped","2026-09-17","","api.requests.skeleton.SuccessfulRequesterTest","api.requests.skeleton.SuccessfulRequesterTest","successfulCrudDelegatesValidatesAndExtractsResponses"
"","0","Позитивный тест: успешная авторизация с получением сессии и выполнение запроса только с указанием сессии","","2026-09-17","skipped","2026-09-17","","api.AuthTest","api.AuthTest","getAuthSessionWithValidDataAdminAndUseSession"
